Sample	r_processed	bp_processed	bp_written	percent_trimmed	r_with_adapters
ASC_5_AZA_12_10_R1_001	18573396	1383356456	1264856951	8.56608609343	10041924
ASC_5_AZA_12_10_R2_001	18573396	1365404565	1257977621	7.8677739004	10920187
ASC_5_AZA_4_10_R1_001	17115269	1274472150	1124744898	11.7481776279	10295086
ASC_5_AZA_4_10_R2_001	17115269	1257206138	1119647137	10.9416424914	11173162
ASC_DMSO_12_10_R1_001	19848037	1479204999	1332530579	9.91576016165	11113165
ASC_DMSO_12_10_R2_001	19848037	1424888999	1298657855	8.85901597167	11966171
ASC_DMSO_4_10_R1_001	20047564	1494550906	1320026230	11.6773992307	12222883
ASC_DMSO_4_10_R2_001	20047564	1473589080	1311401113	11.006322536	13244393
