Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ASC_5_AZA_12_10_R1_001_val_1	pass	0.0	fail	66.5664269023	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	18381521.0	pass	fail	warn	36.0	46.0027718147	ASC_5_AZA_12_10_R1_001_val_1.fq.gz	pass	pass
ASC_5_AZA_12_10_R2_001_val_2	pass	0.0	warn	65.9478445772	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	18381521.0	pass	fail	warn	35.0	53.0074397958	ASC_5_AZA_12_10_R2_001_val_2.fq.gz	pass	pass
ASC_5_AZA_4_10_R1_001_val_1	pass	0.0	fail	64.0398036441	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	fail	16943725.0	pass	fail	warn	38.0	44.4845347648	ASC_5_AZA_4_10_R1_001_val_1.fq.gz	pass	pass
ASC_5_AZA_4_10_R2_001_val_2	pass	0.0	warn	63.6151948878	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	fail	16943725.0	pass	fail	warn	37.0	50.572091828	ASC_5_AZA_4_10_R2_001_val_2.fq.gz	pass	pass
ASC_DMSO_12_10_R1_001_val_1	pass	0.0	pass	65.5041757791	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	19248983.0	pass	fail	warn	35.0	79.7281114597	ASC_DMSO_12_10_R1_001_val_1.fq.gz	pass	pass
ASC_DMSO_12_10_R2_001_val_2	pass	0.0	pass	65.6518876867	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	fail	19248983.0	pass	fail	warn	35.0	82.5151482003	ASC_DMSO_12_10_R2_001_val_2.fq.gz	pass	pass
ASC_DMSO_4_10_R1_001_val_1	pass	0.0	fail	64.044586002	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	19870676.0	pass	fail	warn	37.0	42.0887243094	ASC_DMSO_4_10_R1_001_val_1.fq.gz	pass	pass
ASC_DMSO_4_10_R2_001_val_2	pass	0.0	fail	63.5796464096	Sanger / Illumina 1.9	pass	warn	20-75	Conventional base calls	pass	warn	19870676.0	pass	fail	warn	36.0	48.2398995627	ASC_DMSO_4_10_R2_001_val_2.fq.gz	pass	pass
